extinct,pop_drop20, pop_drop50, pop_drop80, r_allele_peak15, r_allele_peak45, r_allele_peak75, final_r_allele, final_pop_size, final_inf_prev, max_r_allele, time_max_r_allele, max_inf_prev, time_last_zero_inf, min_pop, time_min_pop, at_K95, firstK95, r_ts_d0, parm_number 
"0","1","1","1","1","0","0","0.105295967167858","72.6666666666667","0.10954291064531","0.153061224489796","145","0.794871794871795","41","11","43","1","132","0.045","1"
"0","0","0","0","0","0","0","0.0843979603298621","123.6","0.449928102010551","0.144628099173554","244","0.621848739495798","104","108","212","1","214","0.0689655172413793","2"
"1","1","1","1","1","1","NA","0.101190476190476","2.4","0.545454545454545","0.5","NA","1","84","0","91","0","NA","0.0431034482758621","3"
"1","1","1","1","1","0","0","0.0665286201330825","40.6","0.467695497171201","0.25","61","1","51","0","62","0","NA","0.0304878048780488","4"
"0","0","0","1","0","0","0","0.0515023257215936","119.866666666667","0.392679207876405","0.09375","197","0.577981651376147","103","95","243","1","245","0.0258620689655172","5"
"1","1","1","1","1","NA","NA","0.0359847164701534","30.8666666666667","0.484333333333333","0.25","NA","1","32","0","40","0","NA","0.0194174757281553","6"
"1","1","1","1","0","0","0","0.0458166748051195","42","0.480268811910886","0.142857142857143","38","1","32","0","42","0","NA","0.0284090909090909","7"
"1","1","1","1","0","0","0","0.0479550893158223","81.7333333333333","0.149222065063649","0.119047619047619","35","1","33","0","37","0","NA","0.0594059405940594","8"
"0","0","1","1","0","0","0","0.0262457869275432","92.1333333333333","0.12300504309263","0.106382978723404","36","0.932692307692308","184","25","39","1","71","0.0779816513761468","9"
"0","0","0","1","1","0","0","0.112300403438787","87.0666666666667","0.583594373914858","0.274725274725275","161","1","99","64","120","1","122","0.0597826086956522","10"
"0","1","1","1","1","0","0","0.0822780356863374","60.8666666666667","0.176011962220758","0.176470588235294","130","0.904761904761905","41","6","43","1","177","0.0380434782608696","1"
"0","0","0","0","1","0","0","0.16161734821169","121.466666666667","0.457145923632131","0.189655172413793","250","0.608333333333333","104","105","130","1","132","0.134146341463415","2"
"1","1","1","1","0","0","0","0","2.93333333333333","0.584615384615385","0.133333333333333","66","1","51","0","84","0","NA","0.0309734513274336","3"
"1","1","1","1","0","0","0","0.0292685885398552","41.7333333333333","0.463148712297986","0.0789473684210526","56","1","51","0","62","0","NA","0.0489130434782609","4"
"0","0","0","1","0","0","0","0.0546419404208859","119.6","0.391185615462513","0.0899280575539568","8","0.666666666666667","103","96","166","1","168","0.069672131147541","5"
"1","1","1","1","1","1","0","0.114471836769502","66.5333333333333","0.329514824797844","0.5","38","1","32","0","39","0","NA","0.0530973451327434","6"
"1","1","1","1","0","0","0","0.0273447044672246","39.8666666666667","0.476215388738841","0.0714285714285714","1","1","32","0","42","0","NA","0.028735632183908","7"
"1","1","1","1","1","1","0","0.0778115897589248","77.0666666666667","0.149068322981366","0.5","36","1","33","0","37","0","NA","0.0654761904761905","8"
"0","1","1","1","0","0","0","0.099705061377115","94.7333333333333","0.135114341438302","0.15","42","0.938144329896907","178","19","45","1","71","0.0490196078431373","9"
"0","0","0","1","1","0","0","0.14049240550764","92.3333333333333","0.59293875685923","0.264367816091954","128","0.929577464788732","99","67","145","1","147","0.0277777777777778","10"
